Nhóm,sku_id,name,price,shelf_full_qty,image_url_1,image_url_2
Bánh kẹo,choco_pie_org,Bánh chocopie Orion hộp 217.8g (6 cái),30000,10,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/7622/76995/bhx/banh-choco-pie-6p-180g_202512050937577481.jpg","https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/7622/76995/bhx/banh-choco-pie-6p-180g_202512050937589437.jpg"
Bánh kẹo,choco_pie_dark,Bánh chocopie Orion Dark vị ca cao hộp 180g (6 cái),34000,10,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/7622/145095/bhx/banh-chocopie-orion-dark-vi-ca-cao-hop-180g-6-cai-202401201135386099.jpg","https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/7622/145095/bhx/banh-chocopie-orion-dark-vi-ca-cao-hop-180g-6-cai-202401201136090794.jpg"
Bánh kẹo,karo_org,Bánh trứng tươi chà bông Karo Richy túi 156g,41000,10,https://cdn.tgdd.vn/Products/Images/9027/229779/bhx/banh-trung-tuoi-cha-bong-karo-richy-tui-156g-26g-x-6-goi-202010210026173458.jpg,https://img.onelife.vn/LYXxezwq9REfIkDzsUN7w_bJ75ZOBjs_9BXEp5ltdL0/rs:fit:600:600:1/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NjX3BjbV9wcm9kdWN0L3Byb2QvMjAyNS8xMS8xMy83MDI3MTItODkzODUwNjE3MDg5Mi53ZWJw.webp
Bánh kẹo,karo_phomai,Bánh trứng tươi phô mai hoàng kim Karo Richy túi 156g,41000,10,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/9027/242814/bhx/banh-trung-tuoi-pho-mai-hoang-kim-karo-goi-156g-202107031030040113.jpg","https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/9027/242814/bhx/banh-trung-tuoi-pho-mai-hoang-kim-karo-richy-goi-26g-202106191045187310.jpg"
Bánh kẹo,alpenliebe_2chew,Kẹo mềm hương trái cây Alpenliebe 2Chew gói 84g,17000,20,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/7199/80065/bhx/keo-mem-huong-trai-cay-alpenliebe-2chew-goi-875g-202211171130397017.jpg",https://filebroker-cdn.lazada.vn/kf/S432d64ba628f4b5cbd80f5c241545d42w.jpg
Bánh kẹo,alpenliebe_xoai,Kẹo hương xoài nhân muối ớt Alpenliebe gói 87g,17000,20,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/2687/231014/bhx/keo-huong-xoai-nhan-muoi-ot-alpenliebe-goi-87g-202011231000137354.jpg",https://chiboomart.com/wp-content/uploads/2022/02/z3187726093465_048_eadfe29bd371188c579e9d5d05d388c8-1536x2048.jpg
Bánh kẹo,kopiko_classic,Kẹo cà phê Coffeeshot Classic KOPIKO gói 135g,16000,20,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/2687/77808/bhx/keo-ca-phe-coffeeshot-classic-kopiko-goi-135g-202209281426158879.jpg",https://down-vn.img.susercontent.com/file/03a4fdd7315f51e6b8c32bcc241d7c13.webp
Bánh kẹo,dynamite_mint,Kẹo hương bạc hà nhân socola Dynamite Big Bang gói 112g,15000,20,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2687/79502/bhx/keo-dynamite-nhan-bac-ha-120g_202512121039195294.jpg",https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lx7tagewn26xec@resize_w900_nl.webp
Bánh kẹo,oreo_vanil_105,Bánh quy nhân kem vani Oreo gói 105g,17000,30,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/3357/79860/bhx/banh-quy-nhan-kem-vani-oreo-goi-1196g-202301311524404090.jpg",https://khosimypham.com/wp-content/uploads/28799_248_20260320164629.png
Bánh kẹo,koala_socola,Bánh gấu nhân kem socola Lotte Koala's March hộp 37g,17500,20,"https://img.tgdd.vn/imgt/bhx/f_webp,fit_outside,quality_95,s_1560x1168/https://cdn.tgdd.vn/Products/Images/3357/77019/bhx/banh-gau-nhan-kem-socola-lotte-koalas-march-hop-37g-201912151456132188.jpg",https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-lkf4gqutut2g3b@resize_w900_nl.webp
